TanimotoSimilarity,count
0.0,412714.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,6.0
0.05,96.0
0.06,923.0
0.07,1833.0
0.08,1783.0
0.09,1144.0
0.1,2133.0
0.11,3555.0
0.12,12878.0
0.13,13062.0
0.14,40719.0
0.15,54721.0
0.16,64031.0
0.17,172008.0
0.18,170705.0
0.19,356858.0
0.2,387520.0
0.21,579429.0
0.22,684031.0
0.23,848613.0
0.24,1340983.0
0.25,1669913.0
0.26,2090149.0
0.27,2237925.0
0.28,2375426.0
0.29,4678736.0
0.3,4839210.0
0.31,3788436.0
0.32,7871557.0
0.33,10768138.0
0.34,2419724.0
0.35,12156675.0
0.36,10585155.0
0.37,8325723.0
0.38,17371143.0
0.39,13680949.0
0.4,14778520.0
0.41,18035191.0
0.42,19973785.0
0.43,19848896.0
0.44,26027748.0
0.45,21840541.0
0.46,19052412.0
0.47,32714744.0
0.48,31827740.0
0.49,14060945.0
0.5,62542563.0
0.51,17902035.0
0.52,40400858.0
0.53,46796878.0
0.54,38043408.0
0.55,41420746.0
0.56,52873509.0
0.57,58097187.0
0.58,52748045.0
0.59,58966208.0
0.6,54860475.0
0.61,57217976.0
0.62,85934527.0
0.63,52721567.0
0.64,69336936.0
0.65,71796672.0
0.66,49287152.0
0.67,99007159.0
0.68,80907380.0
0.69,80573982.0
0.7,81636569.0
0.71,96842623.0
0.72,73201896.0
0.73,86353734.0
0.74,91889058.0
0.75,78431598.0
0.76,95587125.0
0.77,85780307.0
0.78,83992300.0
0.79,88999088.0
0.8,83145185.0
0.81,87691039.0
0.82,84454497.0
0.83,80472537.0
0.84,65575363.0
0.85,76726594.0
0.86,70151502.0
0.87,47605390.0
0.88,99224811.0
0.89,70207860.0
0.9,60087116.0
0.91,51013626.0
0.92,53817674.0
0.93,59339153.0
0.94,50054627.0
0.95,26763476.0
0.96,44382937.0
0.97,54710226.0
0.98,54622946.0
0.99,2019846.0
1.0,249505278.0